Date,Time,Number1,Number2
2012-09-05,Evening,3,9
2012-09-06,Evening,5,2
2012-09-06,Midday,8,4
2012-09-07,Midday,3,0
2012-09-07,Evening,5,3
2012-09-08,Midday,6,2
2012-09-08,Evening,3,8
2012-09-09,Evening,3,0
2012-09-09,Midday,1,6
2012-09-10,Midday,1,8
2012-09-10,Evening,1,7
2012-09-11,Midday,9,3
2012-09-11,Evening,8,9
2012-09-12,Midday,5,3
2012-09-12,Evening,6,6
2012-09-13,Midday,7,9
2012-09-13,Evening,0,0
2012-09-14,Evening,3,8
2012-09-14,Midday,9,8
2012-09-15,Midday,8,9
2012-09-15,Evening,1,4
2012-09-16,Midday,5,8
2012-09-16,Evening,9,4
2012-09-17,Midday,4,7
2012-09-17,Evening,0,0
2012-09-18,Midday,7,7
2012-09-18,Evening,2,3
2012-09-19,Evening,5,9
2012-09-19,Midday,2,1
2012-09-20,Evening,4,1
2012-09-20,Midday,5,3
2012-09-21,Evening,0,8
2012-09-21,Midday,7,8
2012-09-22,Evening,1,8
2012-09-22,Midday,3,6
2012-09-23,Midday,5,6
2012-09-23,Evening,3,0
2012-09-24,Midday,0,3
2012-09-24,Evening,1,0
2012-09-25,Evening,2,3
2012-09-25,Midday,1,4
2012-09-26,Evening,5,6
2012-09-26,Midday,1,9
2012-09-27,Evening,4,1
2012-09-27,Midday,6,4
2012-09-28,Midday,9,6
2012-09-28,Evening,4,1
2012-09-29,Midday,3,6
2012-09-29,Evening,0,1
2012-09-30,Midday,2,3
2012-09-30,Evening,4,0
2012-10-01,Midday,7,0
2012-10-01,Evening,1,6
2012-10-02,Midday,7,5
2012-10-02,Evening,2,7
2012-10-03,Midday,3,4
2012-10-03,Evening,8,8
2012-10-04,Evening,6,8
2012-10-04,Midday,3,8
2012-10-05,Evening,2,4
2012-10-05,Midday,2,2
2012-10-06,Midday,2,5
2012-10-06,Evening,2,0
2012-10-07,Midday,5,3
2012-10-07,Evening,0,3
2012-10-08,Midday,7,3
2012-10-08,Evening,2,8
2012-10-09,Evening,3,5
2012-10-09,Midday,6,0
2012-10-10,Evening,6,3
2012-10-10,Midday,4,1
2012-10-11,Evening,7,1
2012-10-11,Midday,3,7
2012-10-12,Evening,9,5
2012-10-12,Midday,1,9
2012-10-13,Midday,3,2
2012-10-13,Evening,8,6
2012-10-14,Midday,1,9
2012-10-14,Evening,4,9
2012-10-15,Midday,1,7
2012-10-15,Evening,2,2
2012-10-16,Midday,5,1
2012-10-16,Evening,3,8
2012-10-17,Midday,0,8
2012-10-17,Evening,5,5
2012-10-18,Midday,7,4
2012-10-18,Evening,4,6
2012-10-19,Evening,5,5
2012-10-19,Midday,4,2
2012-10-20,Midday,1,8
2012-10-20,Evening,2,6
2012-10-21,Evening,4,2
2012-10-21,Midday,5,6
2012-10-22,Evening,5,6
2012-10-22,Midday,7,8
2012-10-23,Midday,9,6
2012-10-23,Evening,3,2
2012-10-24,Midday,1,3
2012-10-24,Evening,7,3
2012-10-25,Midday,7,9
2012-10-25,Evening,5,1
2012-10-26,Midday,8,4
2012-10-26,Evening,4,9
2012-10-27,Evening,3,6
2012-10-27,Midday,8,0
2012-10-28,Midday,1,4
2012-10-28,Evening,8,1
2012-10-29,Midday,9,5
2012-10-29,Evening,1,3
2012-10-30,Midday,5,4
2012-10-30,Evening,3,1
2012-10-31,Evening,5,4
2012-10-31,Midday,4,9
2012-11-01,Evening,6,2
2012-11-01,Midday,2,1
2012-11-02,Evening,5,6
2012-11-02,Midday,1,6
2012-11-03,Evening,6,8
2012-11-03,Midday,3,0
2012-11-04,Midday,0,9
2012-11-04,Evening,4,5
2012-11-05,Midday,0,1
2012-11-05,Evening,0,6
2012-11-06,Evening,9,0
2012-11-06,Midday,2,4
2012-11-07,Evening,6,2
2012-11-07,Midday,3,4
2012-11-08,Evening,3,1
2012-11-08,Midday,3,1
2012-11-09,Evening,6,7
2012-11-09,Midday,8,3
2012-11-10,Evening,9,2
2012-11-10,Midday,1,7
2012-11-11,Evening,6,2
2012-11-11,Midday,8,8
2012-11-12,Evening,3,0
2012-11-12,Midday,6,3
2012-11-13,Evening,3,7
2012-11-13,Midday,1,1
2012-11-14,Evening,8,0
2012-11-14,Midday,4,6
2012-11-15,Evening,1,4
2012-11-15,Midday,2,7
2012-11-16,Evening,8,0
2012-11-16,Midday,5,0
2012-11-17,Evening,6,5
2012-11-17,Midday,8,2
2012-11-18,Evening,7,0
2012-11-18,Midday,8,4
2012-11-19,Midday,9,3
2012-11-19,Evening,5,8
2012-11-20,Midday,0,9
2012-11-20,Evening,4,8
2012-11-21,Midday,6,1
2012-11-21,Evening,4,7
2012-11-22,Midday,4,4
2012-11-22,Evening,9,0
2012-11-23,Midday,9,2
2012-11-23,Evening,9,4
2012-11-24,Midday,3,4
2012-11-24,Evening,0,6
2012-11-25,Midday,2,4
2012-11-25,Evening,4,9
2012-11-26,Evening,8,0
2012-11-26,Midday,2,3
2012-11-27,Midday,9,6
2012-11-27,Evening,0,0
2012-11-28,Midday,6,3
2012-11-28,Evening,6,4
2012-11-29,Evening,6,5
2012-11-29,Midday,2,7
2012-11-30,Midday,2,3
2012-11-30,Evening,7,0
2012-12-01,Midday,9,1
2012-12-01,Evening,6,1
2012-12-02,Evening,3,4
2012-12-02,Midday,7,5
2012-12-03,Evening,6,5
2012-12-03,Midday,1,5
2012-12-04,Evening,2,7
2012-12-04,Midday,3,4
2012-12-05,Evening,5,8
2012-12-05,Midday,0,9
2012-12-06,Midday,8,1
2012-12-06,Evening,2,1
2012-12-07,Midday,5,5
2012-12-07,Evening,2,4
2012-12-08,Midday,1,8
2012-12-08,Evening,1,7
2012-12-09,Midday,8,4
2012-12-09,Evening,2,7
2012-12-10,Midday,9,1
2012-12-10,Evening,8,7
2012-12-11,Evening,1,7
2012-12-11,Midday,1,2
2012-12-12,Evening,5,3
2012-12-12,Midday,8,7
2012-12-13,Evening,3,8
2012-12-13,Midday,6,6
2012-12-14,Midday,3,4
2012-12-14,Evening,5,4
2012-12-15,Evening,2,4
2012-12-15,Midday,7,1
2012-12-16,Midday,7,5
2012-12-16,Evening,9,9
2012-12-17,Midday,6,9
2012-12-17,Evening,6,5
2012-12-18,Evening,8,3
2012-12-18,Midday,6,0
2012-12-19,Evening,1,6
2012-12-19,Midday,5,5
2012-12-20,Evening,3,1
2012-12-20,Midday,3,1
2012-12-21,Evening,8,6
2012-12-21,Midday,3,5
2012-12-22,Evening,1,5
2012-12-22,Midday,9,0
2012-12-23,Evening,5,8
2012-12-23,Midday,0,7
2012-12-24,Midday,0,4
2012-12-24,Evening,5,1
2012-12-25,Midday,1,0
2012-12-25,Evening,9,4
2012-12-26,Evening,6,9
2012-12-26,Midday,3,9
2012-12-27,Evening,0,3
2012-12-27,Midday,8,2
2012-12-28,Midday,7,2
2012-12-28,Evening,5,5
2012-12-29,Midday,6,0
2012-12-29,Evening,1,4
2012-12-30,Midday,9,6
2012-12-30,Evening,2,7
2012-12-31,Evening,3,6
2012-12-31,Midday,7,9
